distribucion,particulas,frames,construccion_quadtree_us,deteccion_quadtree_us,deteccion_fuerza_bruta_us,comparaciones_quadtree,comparaciones_fuerza_bruta,nodos_visitados_quadtree,particulas_revisadas_quadtree,candidatos_quadtree,colisiones,candidatos_por_particula
uniforme,1000,3,657.67,1050.67,13764.67,227.00,499500.00,22561.33,5048.00,1454.00,184.33,0.23
uniforme,5000,3,3897.67,9388.33,344721.33,4947.33,12497500.00,161684.00,44260.67,14894.67,3894.00,0.99
uniforme,10000,3,7765.00,24167.00,1361531.00,20279.33,49995000.00,386358.67,126628.00,50558.67,15878.00,2.03
clusters,1000,3,623.00,1588.67,12696.00,1194.00,499500.00,32485.33,9276.00,3388.00,942.67,1.19
clusters,5000,3,3229.00,14884.33,257077.00,31723.33,12497500.00,278722.67,125156.33,68446.67,24933.67,6.34
clusters,10000,3,4850.67,30300.00,703283.67,123716.00,49995000.00,752120.00,410327.00,257432.00,97471.00,12.37
alta densidad,1000,3,339.67,1101.00,6914.67,2504.00,499500.00,37837.33,13014.67,6008.00,1975.67,2.50
alta densidad,5000,3,2356.00,13455.00,173859.67,60123.67,12497500.00,352066.67,192193.33,125247.33,47455.33,12.02
alta densidad,10000,3,5226.67,45910.33,693524.67,241533.33,49995000.00,969556.00,679160.00,493066.67,190806.33,24.15
